"","Narrativity_Overall.z.diff","Narrativity_Staging.z.diff","Narrativity_PlotProg.z.diff","Narrativity_CogTension.z.diff","Narrativity_Overall.z.frec","Narrativity_Staging.z.frec","Narrativity_PlotProg.z.frec","Narrativity_CogTension.z.frec","Narrativity_Overall.lf.diff","Narrativity_Staging.lf.diff","Narrativity_PlotProg.lf.diff","Narrativity_CogTension.lf.diff","Narrativity_Overall.lf.frech","Narrativity_Staging.lf.frech","Narrativity_PlotProg.lf.frech","Narrativity_CogTension.lf.frech"
"Narrativity_Overall.z.diff",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Narrativity_Staging.z.diff",0,,0,2.11403849981195e-09,0,0,0,5.26046688431592e-08,0,0,0,2.12415828637624e-06,0,0,0,3.05536093758718e-07
"Narrativity_PlotProg.z.diff",0,0,,7.22262400998375e-08,0,0,0,6.45690239498009e-07,0,0,0,2.44066851933233e-05,0,0,0,2.19752186225719e-06
"Narrativity_CogTension.z.diff",0,2.11403849981195e-09,7.22262400998375e-08,,0,0.000122577047133143,0.00039941266350052,0,0,5.29903689816535e-08,2.70344857611349e-09,0,0,0.299274873633558,0.158473070732888,0
"Narrativity_Overall.z.frec",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"Narrativity_Staging.z.frec",0,0,0,0.000122577047133143,0,,0,0.000107625772089559,0,0,0,0.0311845616320088,0,0,0,4.55742572715856e-05
"Narrativity_PlotProg.z.frec",0,0,0,0.00039941266350052,0,0,,0.000101735219766086,0,0,0,0.0595207445118771,0,0,0,0.000109544842503473
"Narrativity_CogTension.z.frec",0,5.26046688431592e-08,6.45690239498009e-07,0,0,0.000107625772089559,0.000101735219766086,,0,2.76550311983925e-07,2.25951952259607e-07,0,0,0.147908964801172,0.0153154099949857,0
"Narrativity_Overall.lf.diff",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
"Narrativity_Staging.lf.diff",0,0,0,5.29903689816535e-08,0,0,0,2.76550311983925e-07,0,,0,4.67685906224702e-05,0,0,0,6.7814983562009e-07
"Narrativity_PlotProg.lf.diff",0,0,0,2.70344857611349e-09,0,0,0,2.25951952259607e-07,0,0,,2.94487298102553e-07,0,0,0,1.9983357633091e-06
"Narrativity_CogTension.lf.diff",0,2.12415828637624e-06,2.44066851933233e-05,0,0,0.0311845616320088,0.0595207445118771,0,0,4.67685906224702e-05,2.94487298102553e-07,,0,0.466722265028995,0.71410132927596,0
"Narrativity_Overall.lf.frech",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
"Narrativity_Staging.lf.frech",0,0,0,0.299274873633558,0,0,0,0.147908964801172,0,0,0,0.466722265028995,0,,0,0.0551737812878352
"Narrativity_PlotProg.lf.frech",0,0,0,0.158473070732888,0,0,0,0.0153154099949857,0,0,0,0.71410132927596,0,0,,0.0051203607975836
"Narrativity_CogTension.lf.frech",0,3.05536093758718e-07,2.19752186225719e-06,0,0,4.55742572715856e-05,0.000109544842503473,0,0,6.7814983562009e-07,1.9983357633091e-06,0,0,0.0551737812878352,0.0051203607975836,
